=9x3
0,-4,
1,-2,
-1,-2,
-3,0,
0,0,
3,0,
1,2,
-1,2,
0,4,
=1x2
SYS_WAFERID,25
=120x13
IDSAT_A01H_NSVT10_X130X230Y230Y1D5_1_d06,,R,mA,+4.474500E-01,+4.606500E-01,+4.728500E-01,+4.734500E-01,+4.339500E-01,+4.543000E-01,+4.714500E-01,+4.550500E-01,+4.999500E-01
VTHI_A01H_NSVT10_X130X230Y230Y1D5_1_d06,,R,V,+4.829000E-01,+4.685000E-01,+4.663000E-01,+4.848000E-01,+5.090000E-01,+4.790000E-01,+4.642000E-01,+5.030000E-01,+4.510000E-01
IDLIN_A02A_NSVT10_X130X230Y230Y11_1_d06,,R,uA,+1.507500E+02,+1.440500E+02,+1.523000E+02,+1.445000E+02,+1.459500E+02,+1.422000E+02,+1.521500E+02,+1.469000E+02,+1.583000E+02
IDSAT_A02A_NSVT10_X130X230Y230Y11_1_d06,,R,mA,+4.952000E-01,+4.713500E-01,+4.879500E-01,+4.721000E-01,+4.765500E-01,+4.477500E-01,+4.940000E-01,+4.856500E-01,+5.221500E-01
VTHI_A02A_NSVT10_X130X230Y230Y11_1_d06,,R,V,+4.473000E-01,+4.743000E-01,+4.759000E-01,+4.709000E-01,+4.798000E-01,+4.712000E-01,+4.553000E-01,+4.783000E-01,+4.704000E-01
IDLIN_A02B_NSVT10_X130X230Y230Y12_1_d06,,R,uA,+1.489000E+02,+1.528000E+02,+1.523000E+02,+1.474000E+02,+1.449000E+02,+1.535500E+02,+1.543000E+02,+1.490500E+02,+1.551500E+02
IDSAT_A02B_NSVT10_X130X230Y230Y12_1_d06,,R,mA,+4.822000E-01,+4.938500E-01,+4.967500E-01,+4.836000E-01,+4.725000E-01,+4.898500E-01,+5.055000E-01,+4.746000E-01,+5.126500E-01
VTHI_A02B_NSVT10_X130X230Y230Y12_1_d06,,R,V,+4.709000E-01,+4.417000E-01,+4.651000E-01,+4.725000E-01,+4.914000E-01,+4.415000E-01,+4.478000E-01,+4.939000E-01,+4.637000E-01
IDLIN_A02C_NSVT10_X130X230Y230Y1D15_d12_1,,R,uA,+2.774500E+00,+2.743000E+00,+2.719000E+00,+2.818500E+00,+2.679000E+00,+2.802000E+00,+2.758000E+00,+2.691500E+00,+2.878500E+00
IDSAT_A02C_NSVT10_X130X230Y230Y1D15_d12_1,,R,mA,+1.188500E-02,+1.211500E-02,+1.157500E-02,+1.240500E-02,+1.136000E-02,+1.229500E-02,+1.195000E-02,+1.176000E-02,+1.298500E-02
